2022-05-03 18:35:12,340, [INFO], catapult, position:-0.013, velocity: -0.006, current: 003.105, mechpower:0000.000, power:0000.059, rpm:0012.817
2022-05-03 18:35:12,352, [INFO], catapult, position:-0.013, velocity: 00.063, current: 009.226, mechpower:0000.136, power:0000.358, rpm:0030.212
2022-05-03 18:35:12,366, [INFO], catapult, position:-0.011, velocity: 00.179, current: 014.440, mechpower:0000.777, power:0001.340, rpm:0098.877
2022-05-03 18:35:12,379, [INFO], catapult, position:-0.008, velocity: 00.424, current: 017.401, mechpower:0002.662, power:0003.708, rpm:0181.274
2022-05-03 18:35:12,402, [INFO], catapult, position:0.008, velocity: 00.925, current: 020.002, mechpower:0009.561, power:0012.622, rpm:0363.464
2022-05-03 18:35:12,423, [INFO], catapult, position:0.022, velocity: 01.246, current: 021.416, mechpower:0017.468, power:0023.555, rpm:0521.851
2022-05-03 18:35:12,452, [INFO], catapult, position:0.060, velocity: 01.945, current: 022.784, mechpower:0035.200, power:0047.456, rpm:0793.762
2022-05-03 18:35:12,479, [INFO], catapult, position:0.126, velocity: 02.763, current: 023.214, mechpower:0058.029, power:0077.579, rpm:1049.194
2022-05-03 18:35:12,507, [INFO], catapult, position:0.213, velocity: 03.558, current: 024.865, mechpower:0082.974, power:0109.870, rpm:1315.613
2022-05-03 18:35:12,533, [INFO], catapult, position:0.317, velocity: 04.292, current: 024.449, mechpower:0107.841, power:0142.754, rpm:1561.890
2022-05-03 18:35:12,562, [INFO], catapult, position:0.442, velocity: 05.079, current: 024.529, mechpower:0136.069, power:0180.929, rpm:1836.548
2022-05-03 18:35:12,590, [INFO], catapult, position:0.605, velocity: 05.888, current: 024.880, mechpower:0164.270, power:0216.859, rpm:2087.403
2022-05-03 18:35:12,616, [INFO], catapult, position:0.775, velocity: 06.692, current: 024.560, mechpower:0191.436, power:0253.805, rpm:2315.369
2022-05-03 18:35:12,645, [INFO], catapult, position:0.958, velocity: 07.358, current: 024.125, mechpower:0218.879, power:0286.398, rpm:2539.673
2022-05-03 18:35:12,669, [INFO], catapult, position:1.164, velocity: 07.806, current: 012.575, mechpower:0201.744, power:0262.571, rpm:2649.536
2022-05-03 18:35:12,697, [INFO], catapult, position:1.374, velocity: 08.059, current: 009.585, mechpower:0169.295, power:0221.535, rpm:2685.242
2022-05-03 18:35:12,723, [INFO], catapult, position:1.591, velocity: 08.018, current: 009.608, mechpower:0142.479, power:0189.035, rpm:2685.242
2022-05-03 18:35:12,749, [INFO], catapult, position:1.795, velocity: 08.079, current: 009.007, mechpower:0132.282, power:0174.628, rpm:2748.413
