,0,1,2,3,4
0,time,position,velocity,current,rpm
1,2022-05-04 15:54:26.955000,-0.069,0.05,7.401,101.624
2,2022-05-04 15:54:26.986000,-0.061,0.404,20.507,236.206
3,2022-05-04 15:54:27.094000,-0.038,1.145,22.151,1235.047
4,2022-05-04 15:54:27.106000,0.21,3.904,25.095,1360.474
5,2022-05-04 15:54:27.130000,0.309,4.579,24.95,1587.525
6,2022-05-04 15:54:27.150000,0.37,4.931,24.652,1772.461
7,2022-05-04 15:54:27.183000,0.517,5.743,24.55,2075.501
8,2022-05-04 15:54:27.219000,0.714,6.659,25.851,2372.132
9,2022-05-04 15:54:27.251000,0.958,7.564,20.699,2596.436
10,2022-05-04 15:54:27.283000,1.213,7.933,13.428,2671.509
11,2022-05-04 15:54:27.312000,1.464,8.029,9.487,2680.664
12,2022-05-04 15:54:27.343000,1.704,8.062,13.955,2672.425
