2022-04-11 12:14:13,096, [INFO], catapult, position:-0.017, velocity: 00.003, current: -04.600, mechpower:0000.014, power:0000.146, rpm:0021.973
2022-04-11 12:14:13,114, [INFO], catapult, position:-0.016, velocity: 00.124, current: -12.372, mechpower:0000.449, power:0001.007, rpm:0093.384
2022-04-11 12:14:13,132, [INFO], catapult, position:-0.011, velocity: 00.432, current: -17.077, mechpower:0002.904, power:0004.271, rpm:0204.163
2022-04-11 12:14:13,152, [INFO], catapult, position:0.000, velocity: 00.839, current: -20.115, mechpower:0008.385, power:0011.417, rpm:0351.563
2022-04-11 12:14:13,169, [INFO], catapult, position:0.021, velocity: 01.315, current: -21.915, mechpower:0016.750, power:0022.126, rpm:0502.625
2022-04-11 12:14:13,188, [INFO], catapult, position:0.047, velocity: 01.731, current: -21.710, mechpower:0026.988, power:0035.574, rpm:0668.335
2022-04-11 12:14:13,205, [INFO], catapult, position:0.082, velocity: 02.199, current: -23.771, mechpower:0040.204, power:0053.149, rpm:0839.539
2022-04-11 12:14:13,223, [INFO], catapult, position:0.125, velocity: 02.730, current: -23.648, mechpower:0054.135, power:0071.396, rpm:1009.827
2022-04-11 12:14:13,243, [INFO], catapult, position:0.177, velocity: 03.263, current: -21.820, mechpower:0070.564, power:0092.912, rpm:1202.088
2022-04-11 12:14:13,261, [INFO], catapult, position:0.249, velocity: 03.814, current: -23.044, mechpower:0086.799, power:0113.513, rpm:1377.869
2022-04-11 12:14:13,279, [INFO], catapult, position:0.327, velocity: 04.378, current: -23.901, mechpower:0103.543, power:0135.113, rpm:1522.522
2022-04-11 12:14:13,297, [INFO], catapult, position:0.404, velocity: 04.851, current: -23.132, mechpower:0119.047, power:0155.597, rpm:1699.219
2022-04-11 12:14:13,315, [INFO], catapult, position:0.497, velocity: 05.302, current: -23.248, mechpower:0136.437, power:0178.433, rpm:1859.436
2022-04-11 12:14:13,334, [INFO], catapult, position:0.600, velocity: 05.861, current: -25.059, mechpower:0154.921, power:0202.751, rpm:2045.288
2022-04-11 12:14:13,351, [INFO], catapult, position:0.714, velocity: 06.397, current: -24.131, mechpower:0171.719, power:0224.577, rpm:2200.928
2022-04-11 12:14:13,370, [INFO], catapult, position:0.831, velocity: 06.890, current: -22.669, mechpower:0190.509, power:0249.734, rpm:2365.723
2022-04-11 12:14:13,389, [INFO], catapult, position:0.963, velocity: 07.322, current: -25.304, mechpower:0209.766, power:0274.295, rpm:2505.799
2022-04-11 12:14:13,406, [INFO], catapult, position:1.100, velocity: 07.770, current: -15.714, mechpower:0204.126, power:0264.816, rpm:2613.831
2022-04-11 12:14:13,423, [INFO], catapult, position:1.236, velocity: 07.927, current: -12.802, mechpower:0185.775, power:0241.979, rpm:2660.523
2022-04-11 12:14:13,440, [INFO], catapult, position:1.373, velocity: 08.079, current: -08.717, mechpower:0162.732, power:0212.990, rpm:2693.482
2022-04-11 12:14:13,459, [INFO], catapult, position:1.518, velocity: 08.103, current: -07.249, mechpower:0139.635, power:0182.799, rpm:2704.468
2022-04-11 12:14:13,476, [INFO], catapult, position:1.658, velocity: 08.145, current: -07.549, mechpower:0122.860, power:0161.981, rpm:2713.623
2022-04-11 12:14:13,502, [INFO], catapult, position:1.799, velocity: 08.103, current: -12.697, mechpower:0114.802, power:0153.978, rpm:2707.215
