NO_OF_SAMPLES	10280
FREQUENCY	1200
TIME_STAMP	2022-04-11, 14:13:41.908	8519.26453246
FIRST_SAMPLE	1
DESCRIPTION	Force data in local (force plate) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Amti Gen 5
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	Amti Optima OPT400600-HF-2000-CTT 10116M
FORCE_PLATE_CORNER_POSX_POSY_X	-400.000006
FORCE_PLATE_CORNER_POSX_POSY_Y	600.000024
FORCE_PLATE_CORNER_POSX_POSY_Z	-35.000000
FORCE_PLATE_CORNER_NEGX_POSY_X	0.000000
FORCE_PLATE_CORNER_NEGX_POSY_Y	600.000024
FORCE_PLATE_CORNER_NEGX_POSY_Z	-35.000000
FORCE_PLATE_CORNER_NEGX_NEGY_X	0.000000
FORCE_PLATE_CORNER_NEGX_NEGY_Y	0.000000
FORCE_PLATE_CORNER_NEGX_NEGY_Z	-35.000000
FORCE_PLATE_CORNER_POSX_NEGY_X	-400.000006
FORCE_PLATE_CORNER_POSX_NEGY_Y	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_Z	-35.000000
FORCE_PLATE_OFFSET_X	0.584200
FORCE_PLATE_OFFSET_Y	-0.787400
FORCE_PLATE_OFFSET_Z	-40.309800
FORCE_PLATE_LENGTH	599.948000
FORCE_PLATE_WIDTH	400.050000
SAMPLE	TIME	Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
1	0.00000	0.088570	0.088455	0.719879	0.045704	0.145515	0.018926	0.000000	0.000000	0.000000	
2	0.00083	0.265709	-0.265366	1.079819	0.137112	0.072758	-0.037851	0.000000	0.000000	0.000000	
3	0.00167	0.265709	-0.176910	-0.719879	0.000000	-0.036379	-0.094628	0.000000	0.000000	0.000000	
4	0.00250	0.177139	0.088455	0.000000	-0.045704	0.036379	0.075703	0.000000	0.000000	0.000000	
5	0.00333	0.177139	-0.088455	-0.359940	-0.091408	0.181894	0.000000	0.000000	0.000000	0.000000	
6	0.00417	0.088570	-0.088455	1.799698	-0.045704	0.036379	0.056777	0.000000	0.000000	0.000000	
7	0.00500	-0.265709	-0.265366	-1.439758	0.228519	-0.145515	0.018926	0.000000	0.000000	0.000000	
8	0.00583	-0.088570	0.265366	0.359940	-0.045704	-0.218273	-0.075703	0.000000	0.000000	0.000000	
9	0.00667	-0.177139	0.176910	-1.079819	0.000000	-0.109137	0.056777	0.000000	0.000000	0.000000	
10	0.00750	-0.265709	-0.353821	0.719879	0.000000	0.000000	-0.037851	0.000000	0.000000	0.000000	
11	0.00833	0.265709	-0.265366	-1.439758	0.228519	0.109137	-0.018926	0.000000	0.000000	0.000000	
12	0.00917	-0.177139	0.353821	-0.719879	-0.091408	-0.145515	-0.094628	0.000000	0.000000	0.000000	
13	0.01000	0.177139	-0.265366	-0.359940	-0.182816	-0.036379	0.037851	0.000000	0.000000	0.000000	
14	0.01083	0.442848	-0.088455	0.719879	0.091408	0.036379	-0.037851	0.000000	0.000000	0.000000	
15	0.01167	-0.088570	-0.265366	1.439758	0.045704	-0.109137	0.018926	0.000000	0.000000	0.000000	
16	0.01250	-0.265709	0.176910	1.439758	-0.091408	-0.181894	-0.018926	0.000000	0.000000	0.000000	
17	0.01333	0.177139	-0.088455	0.719879	-0.045704	-0.218273	-0.056777	0.000000	0.000000	0.000000	
18	0.01417	-0.442848	0.530731	1.079819	0.228519	-0.218273	0.113554	0.000000	0.000000	0.000000	
19	0.01500	0.088570	-0.265366	-1.799698	0.182816	-0.036379	-0.018926	0.000000	0.000000	0.000000	
20	0.01583	0.265709	0.088455	0.000000	-0.137112	-0.181894	-0.037851	0.000000	0.000000	0.000000	
21	0.01667	0.265709	0.000000	-0.359940	0.091408	0.000000	-0.018926	0.000000	0.000000	0.000000	
22	0.01750	-0.354279	-0.176910	-0.359940	-0.045704	0.109137	-0.075703	0.000000	0.000000	0.000000	
23	0.01833	0.177139	0.176910	0.000000	-0.137112	-0.072758	0.037851	0.000000	0.000000	0.000000	
24	0.01917	-0.265709	0.088455	0.000000	-0.228519	-0.109137	-0.037851	0.000000	0.000000	0.000000	
25	0.02000	0.354279	0.000000	-0.359940	-0.091408	-0.072758	-0.018926	0.000000	0.000000	0.000000	
26	0.02083	-0.177139	-0.088455	0.000000	0.182816	-0.036379	-0.113554	0.000000	0.000000	0.000000	
27	0.02167	-0.177139	0.265366	1.799698	0.045704	0.000000	0.018926	0.000000	0.000000	0.000000	
28	0.02250	-0.354279	0.265366	-1.439758	-0.091408	0.291031	0.113554	0.000000	0.000000	0.000000	
29	0.02333	-0.177139	0.353821	-0.719879	-0.045704	0.000000	-0.094628	0.000000	0.000000	0.000000	
30	0.02417	0.708557	0.353821	2.159637	-0.137112	-0.072758	0.037851	0.000000	0.000000	0.000000	
31	0.02500	-0.177139	0.000000	-1.439758	0.045704	0.109137	0.113554	0.000000	0.000000	0.000000	
32	0.02583	0.354279	-0.176910	0.359940	0.091408	0.109137	0.018926	0.000000	0.000000	0.000000	
33	0.02667	0.000000	0.000000	0.719879	0.000000	-0.072758	-0.037851	0.000000	0.000000	0.000000	
34	0.02750	0.088570	0.000000	0.719879	0.137112	-0.072758	-0.094628	0.000000	0.000000	0.000000	
35	0.02833	0.265709	0.176910	-1.079819	0.045704	-0.072758	0.000000	0.000000	0.000000	0.000000	
36	0.02917	0.088570	0.000000	-0.359940	-0.274223	-0.072758	0.000000	0.000000	0.000000	0.000000	
37	0.03000	-0.088570	0.176910	1.079819	0.000000	0.000000	0.056777	0.000000	0.000000	0.000000	
38	0.03083	-0.265709	0.265366	-0.359940	-0.228519	0.036379	-0.094628	0.000000	0.000000	0.000000	
39	0.03167	0.354279	0.088455	0.359940	-0.182816	0.072758	0.037851	0.000000	0.000000	0.000000	
40	0.03250	0.797127	0.088455	0.000000	-0.091408	-0.036379	0.113554	0.000000	0.000000	0.000000	
41	0.03333	0.177139	0.176910	-0.359940	0.137112	-0.109137	0.000000	0.000000	0.000000	0.000000	
42	0.03417	0.265709	-0.707642	0.000000	-0.137112	-0.036379	0.018926	0.000000	0.000000	0.000000	
43	0.03500	0.177139	0.088455	0.000000	0.182816	0.000000	0.000000	0.000000	0.000000	0.000000	
44	0.03583	0.000000	-0.176910	-0.359940	0.137112	-0.145515	-0.056777	0.000000	0.000000	0.000000	
45	0.03667	0.000000	0.353821	0.719879	0.000000	-0.036379	0.018926	0.000000	0.000000	0.000000	
46	0.03750	0.265709	0.088455	-1.799698	0.000000	-0.072758	-0.037851	0.000000	0.000000	0.000000	
47	0.03833	0.442848	0.442276	1.439758	0.000000	-0.145515	0.000000	0.000000	0.000000	0.000000	
48	0.03917	0.088570	0.353821	1.439758	0.045704	0.036379	-0.094628	0.000000	0.000000	0.000000	
49	0.04000	0.088570	0.176910	2.159637	0.182816	-0.036379	-0.056777	0.000000	0.000000	0.000000	
50	0.04083	0.531418	0.442276	1.079819	-0.137112	0.000000	0.000000	0.000000	0.000000	0.000000	
51	0.04167	0.177139	-0.088455	0.719879	0.000000	0.036379	-0.018926	0.000000	0.000000	0.000000	
52	0.04250	0.265709	0.265366	-2.159637	-0.182816	-0.145515	0.018926	0.000000	0.000000	0.000000	
53	0.04333	-0.354279	-0.088455	-0.359940	-0.091408	-0.072758	-0.018926	0.000000	0.000000	0.000000	
54	0.04417	0.177139	0.176910	1.079819	-0.045704	-0.072758	-0.018926	0.000000	0.000000	0.000000	
55	0.04500	0.088570	0.000000	1.439758	0.274223	0.072758	-0.056777	0.000000	0.000000	0.000000	
56	0.04583	0.088570	-0.353821	1.439758	-0.091408	0.036379	-0.037851	0.000000	0.000000	0.000000	
57	0.04667	0.000000	-0.265366	1.799698	-0.182816	0.109137	-0.018926	0.000000	0.000000	0.000000	
58	0.04750	0.177139	0.000000	-0.719879	0.137112	0.145515	-0.018926	0.000000	0.000000	0.000000	
59	0.04833	0.088570	0.000000	2.879517	0.045704	0.036379	-0.018926	0.000000	0.000000	0.000000	
60	0.04917	-0.442848	0.088455	0.359940	-0.182816	0.000000	0.094628	0.000000	0.000000	0.000000	
61	0.05000	-0.088570	0.000000	1.439758	0.045704	-0.145515	0.018926	0.000000	0.000000	0.000000	
62	0.05083	0.177139	0.088455	1.799698	0.045704	-0.181894	-0.018926	0.000000	0.000000	0.000000	
63	0.05167	-0.442848	-0.176910	1.439758	-0.045704	0.036379	0.113554	0.000000	0.000000	0.000000	
64	0.05250	-0.354279	0.000000	1.439758	-0.045704	-0.145515	-0.056777	0.000000	0.000000	0.000000	
65	0.05333	0.265709	-0.353821	2.159637	-0.091408	0.036379	-0.132480	0.000000	0.000000	0.000000	
66	0.05417	0.797127	0.265366	1.079819	0.182816	0.000000	-0.018926	0.000000	0.000000	0.000000	
67	0.05500	0.619987	-0.176910	-1.439758	-0.137112	0.218273	-0.018926	0.000000	0.000000	0.000000	
68	0.05583	0.265709	0.088455	-1.799698	-0.182816	-0.218273	-0.037851	0.000000	0.000000	0.000000	
69	0.05667	-0.177139	-0.088455	0.000000	0.045704	0.072758	0.056777	0.000000	0.000000	0.000000	
70	0.05750	0.177139	-0.176910	0.719879	-0.045704	-0.072758	0.018926	0.000000	0.000000	0.000000	
71	0.05833	-0.177139	-0.088455	0.000000	0.000000	-0.072758	-0.018926	0.000000	0.000000	0.000000	
72	0.05917	-0.177139	0.000000	1.079819	-0.137112	0.036379	-0.056777	0.000000	0.000000	0.000000	
73	0.06000	-0.354279	0.176910	1.439758	0.091408	-0.036379	0.000000	0.000000	0.000000	0.000000	
74	0.06083	0.088570	0.176910	-1.439758	-0.137112	0.109137	0.056777	0.000000	0.000000	0.000000	
