t,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z
8452,0.002443,-0.012217,-0.004887,-0.129212,2.043471,9.724432
11277,0,-0.009774,-0.002443,-0.124427,2.033899,9.724432
14267,0,-0.012217,0,-0.124427,2.048256,9.729217
17269,0,-0.014661,0,-0.133998,2.048256,9.738788
20273,-0.002443,-0.014661,-0.002443,-0.133998,2.029114,9.734003
23274,0,-0.012217,-0.002443,-0.129212,2.048256,9.724432
26276,0,-0.014661,-0.002443,-0.138784,2.057827,9.729217
29276,0,-0.017104,0,-0.105284,2.091327,9.786645
32280,0,-0.012217,-0.002443,-0.119641,2.005185,9.74836
35280,0.002443,-0.012217,0,-0.157926,1.895116,9.623933
38281,0,-0.012217,0,1.100698,2.766103,10.336993
41282,0.004887,-0.024435,0,-0.009571,2.976671,10.930414
44284,0.024435,-0.024435,-0.00733,0.148355,2.924029,11.073983
47286,0.043982,-0.068417,-0.019548,2.120041,4.029513,12.251252
50289,0.124617,-0.271224,-0.026878,4.26401,7.030113,16.070196
53292,0.288328,-0.625526,-0.095295,6.943971,14.189439,21.908684
56680,0.471588,-0.527788,-0.227242,-1.550549,9.810574,16.510477
59461,0.466701,0.962724,-0.312763,-0.894916,8.422735,13.213167
62573,0.469144,0.518014,-0.307876,0.70349,10.815558,13.323237
65463,0.491136,0.06353,-0.266337,1.569692,17.682959,18.209381
68466,0.83322,0.244346,-0.19792,-1.287339,19.922642,18.898514
71474,0.901637,0.229685,-0.249233,-2.794817,20.453848,17.381462
74493,0.877202,-0.004887,-0.290772,-0.861416,18.788443,12.126825
77470,1.033584,-0.300546,-0.158825,2.225325,20.535206,10.877771
84547,1.121549,-0.601091,-0.073304,2.871387,22.578674,9.164511
87346,1.102001,-0.329867,-0.237016,-1.478764,26.770901,9.891929
90349,1.08734,-0.601091,-0.366519,3.407379,29.828928,9.643075
93350,1.189965,-0.305433,-0.368963,1.923829,28.29752,6.699903
96352,1.14354,-0.078191,-0.312763,1.167697,25.024139,1.028914
99352,1.065349,-0.039095,-0.205251,2.411965,27.723244,0.641276
102355,0.916298,-0.346971,-0.180816,2.325824,30.781269,2.029114
105356,0.908967,-0.312763,-0.180816,1.928615,32.604603,2.26361
108358,0.921185,-0.195477,-0.234572,-1.158126,30.36492,0.646062
111359,0.752586,-0.024435,-0.256563,-0.272782,28.809584,-0.26321
114363,0.681726,-0.217468,-0.24679,1.536192,29.426931,3.014956
117366,0.62797,-0.256563,-0.168599,2.416751,34.523643,3.378666
120369,0.684169,-0.100182,-0.200364,-0.306281,34.279579,4.488935
123372,0.610865,0.019548,-0.239459,-1.962115,30.594629,-1.78026
126374,0.488692,0.053756,-0.224798,-2.74696,24.406792,-5.986843
129377,0.212581,-0.065973,-0.139277,-0.023928,27.584459,-0.114855
132377,0.24679,-0.256563,-0.083078,1.038485,28.776087,4.354938
135380,0.315206,-0.359189,-0.075747,-0.052642,33.930222,0.047856
138380,0.229685,-0.188146,-0.141721,-0.751346,34.791641,2.804389
141382,0.139277,0.100182,-0.251676,-2.656033,31.829327,0.555135
144383,-0.029322,0.263894,-0.31032,1.765903,31.427332,4.034299
147386,-0.004887,-0.12706,-0.232129,2.775674,34.126438,5.455636
150387,0.107512,-0.083078,-0.200364,0.526421,35.844486,3.163311
153387,0.141721,0.073304,-0.263894,-3.201597,31.341192,1.631905
156389,-0.153938,-0.017104,-0.268781,-2.636891,31.719257,0.11007
159391,-0.227242,0.012217,-0.229685,-1.655833,31.747971,4.895715
162392,-0.200364,-0.588874,-0.144164,-1.469193,31.776686,6.594619
165395,-0.061087,-0.25412,-0.144164,-1.062413,31.661831,6.628119
168395,-0.026878,-0.217468,-0.122173,-1.330409,31.255049,5.876772
171396,-0.026878,-0.405614,-0.053756,1.938186,33.801014,6.45105
174399,-0.117286,-0.354302,-0.065973,1.138984,34.480576,7.29811
178015,-0.105069,-0.163712,-0.114843,2.292324,35.461632,1.411765
180804,-0.097738,0.095295,-0.237016,-1.287339,27.689745,4.785645
185449,-0.278555,0.207694,-0.19792,-1.722832,25.909483,-3.976871
188239,-0.293215,0.024435,-0.068417,-0.512064,30.446276,5.383851
191241,-0.166155,-0.019548,-0.021991,0.272782,38.414375,13.63909
194241,0.039095,0.039095,-0.153938,-2.943172,30.934412,12.284752
197244,-0.017104,0.351858,-0.259007,-4.019942,26.134409,4.479364
200245,-0.109956,0.471588,-0.205251,-0.239282,27.69453,4.177869
203254,-0.163712,-0.364076,0.061087,2.522035,30.948767,10.657632
206249,0.068417,-0.559553,0.102625,2.488536,35.686558,12.576675
209249,0.19059,-0.263894,0.024435,-3.125026,27.651459,7.302895
212251,0.014661,0.298102,-0.202807,-0.129212,28.278379,6.719046
215252,0.034208,0.131947,-0.12706,1.26341,29.694929,8.724232
218253,0.175929,0.087965,-0.019548,-0.057428,30.95834,7.719245
221255,0.31765,-0.173486,-0.075747,0.535992,30.733414,6.642476
224256,0.193033,-0.065973,-0.117286,-0.990629,30.503704,5.039285
227257,0.144164,0.217468,-0.105069,-1.282553,31.17848,7.29811
230260,0.144164,0.095295,-0.07086,0.258425,31.800613,8.786446
233261,0.259007,-0.107512,-0.068417,-0.37328,32.130825,9.226725
236307,0.371406,-0.039095,-0.107512,-3.455236,24.574289,0.952343
239263,0.195477,0.141721,-0.051313,-0.92363,27.201607,-0.62692
242266,0.117286,-0.361632,0.046426,3.302095,29.804998,3.378666
245267,0.12706,-0.581544,0.097738,-0.559921,33.427731,8.12124
248268,0.11973,0.083078,-0.0562,-0.311067,28.436304,3.684947
251270,0.124617,0.051313,-0.168599,1.818545,29.89114,7.235896
254271,0.085521,-0.021991,-0.149051,-0.239282,33.370304,6.991828
257272,0.302989,0.747699,-0.156382,-3.986442,30.479774,5.288138
260273,0.158825,0.561996,-0.19059,-1.598405,27.905098,0.497707
263275,0.031765,-0.019548,-0.153938,1.124627,34.475788,9.475577
266277,0.263894,0.256563,-0.014661,-2.230111,33.384663,8.977871
269279,0.263894,0.544892,-0.092852,-7.116254,25.110281,3.239882
272280,0.112399,0.288328,-0.144164,2.148755,30.939196,5.465207
275281,0.207694,-0.51557,0.014661,1.875973,35.466419,8.04467
278283,0.349415,-0.0562,0.065973,-3.613162,32.12125,3.464807
281284,0.13439,0.268781,0.021991,0.282353,25.871197,-1.971686
284286,-0.200364,-0.493579,-0.00733,2.029114,30.838699,5.331209
