t,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z
8340,-0.002443,-0.014661,-0.004887,-0.258425,2.158326,9.695717
11431,0,-0.014661,0,-0.258425,2.158326,9.710074
14142,-0.002443,-0.014661,-0.002443,-0.248854,2.172683,9.700503
17142,0,-0.014661,-0.002443,-0.258425,2.167897,9.700503
20145,0,-0.014661,-0.002443,-0.253639,2.182254,9.710074
23147,0,-0.014661,-0.004887,-0.253639,2.158326,9.667004
26148,-0.002443,-0.014661,-0.002443,-0.267996,2.148755,9.676576
29151,0.002443,-0.009774,-0.002443,-0.258425,2.522035,10.006784
32152,0.014661,-0.017104,0.004887,-0.124427,3.37388,10.868201
35154,0.039095,-0.058643,0.004887,0.205783,4.240082,12.480963
38155,0.129503,-0.149051,-0.014661,1.493121,6.436693,13.466806
41156,0.26145,-0.364076,-0.00733,4.570292,9.236296,17.903099
44157,0.383623,-0.689056,-0.014661,3.23031,11.901899,18.53002
47158,0.466701,-0.136834,-0.129503,-3.29731,14.155939,15.639489
50159,0.525344,0.838107,-0.224798,-4.082156,10.289137,15.065211
53161,0.503353,1.160644,-0.139277,-0.727418,16.835901,12.921242
56162,0.659734,0.039095,-0.024435,0.445065,16.261623,14.921641
59164,0.791681,-0.073304,-0.11973,0.258425,18.156738,13.13181
62236,0.872316,0.141721,-0.168599,-0.559921,16.582262,7.762317
65214,0.874759,-0.241903,-0.07086,-0.416351,18.491734,10.600205
68169,0.803899,-0.513127,-0.078191,-0.430708,19.846071,9.006585
71175,0.764803,-0.498466,-0.073304,-1.038485,23.028526,4.85743
74171,0.855211,-0.493579,-0.012217,-1.215554,26.866613,3.694518
77174,0.945619,-0.312763,-0.041539,-1.641476,29.752357,3.488736
80181,0.979828,0.053756,-0.107512,-0.401994,27.632315,6.570691
83272,0.847881,0.24679,-0.058643,-0.612563,29.642286,6.580262
86180,0.752586,0.109956,-0.024435,-1.272982,30.393635,1.311267
89183,0.662178,0.017104,-0.048869,1.0002,26.560331,-0.009571
92186,0.461814,-0.263894,-0.024435,0.004786,27.92424,1.732404
95188,0.483805,-0.151495,-0.029322,-0.114855,29.862429,3.665804
98189,0.491136,-0.13439,-0.053756,-1.11027,31.55176,4.59422
103568,0.483805,-0.036652,-0.07086,-0.823131,30.680773,2.411965
106390,0.285885,0.090408,-0.00733,-2.651247,28.565517,0.028714
109283,0.24679,0.13439,-0.034208,-2.057827,26.416761,-1.253839
112488,0.065973,-0.102625,0.031765,-1.70369,28.364519,0.59342
115285,0.031765,-0.014661,-0.014661,-0.937986,31.121052,9.619147
118287,0.109956,0.036652,0.019548,-1.521835,32.303104,7.068398
121288,0.268781,-0.251676,0.078191,0.526421,30.288349,4.426722
124289,0.105069,-0.400728,0.002443,1.335195,29.235508,3.005385
127289,0.117286,-0.017104,-0.036652,-0.172283,31.829327,4.177869
130291,0.085521,-0.051313,0.102625,-1.598405,33.049664,3.37388
133293,0.004887,-0.073304,-0.002443,-0.789632,29.781071,3.59402
136294,-0.019548,0.048869,0.014661,-0.239282,30.58506,0.746561
139297,0.012217,0.068417,0.053756,-2.689533,30.120852,1.191626
142299,-0.156382,0.048869,0.021991,-2.29711,30.46542,0.090927
145302,-0.114843,-0.053756,0.11973,-1.22034,30.494133,-0.914058
148307,-0.31765,-0.166155,0.085521,0.052642,29.584858,6.101698
151308,-0.398284,-0.175929,0.083078,1.56012,30.489347,9.255438
154310,-0.166155,0.0562,0.090408,0.043071,32.819958,13.720446
157314,0.07086,-0.146608,0.051313,0.89013,31.747971,11.834901
160316,0.156382,-0.161268,-0.024435,-0.320638,31.216766,8.226524
163317,0.19059,0.185703,0.021991,-3.067599,31.527832,7.762317
166318,0.002443,-0.0562,0.085521,-1.205983,31.29812,8.532805
169319,0.131947,-0.285885,0.046426,0.052642,31.245478,9.939785
172319,0.18326,-0.009774,0.036652,-0.961915,26.61776,7.360322
175321,0.259007,-0.175929,0.07086,-0.234497,30.853054,10.126426
178322,0.405614,-0.342085,0.105069,0.574277,33.82494,8.178668
181321,0.403171,-0.012217,0.085521,2.081756,30.005997,1.799403
184323,0.222355,-0.342085,0.0562,1.986043,28.450661,-0.315853
187329,0.168599,-0.073304,0.017104,1.019342,26.689543,-3.029314
190330,0.034208,0.161268,0.0562,1.540978,32.642887,7.465607
193331,0.193033,0.017104,-0.043982,0.832702,35.428131,10.475779
196331,0.300546,0.271224,-0.073304,0.842274,33.542591,6.943971
199520,0.251676,0.202807,0.031765,-1.89033,29.216366,0.430708
202332,0.053756,-0.075747,-0.00733,0.9667,30.719057,2.206183
205335,0.026878,-0.0562,0.00733,-0.445065,32.102108,4.106084
208370,0.039095,0.129503,-0.009774,1.526621,30.494133,6.455835
211340,0.090408,-0.180816,-0.068417,-0.181855,30.781269,6.503692
214342,0.087965,0.285885,-0.092852,-0.090927,30.417562,5.149354
217345,0.129503,0.24679,0.009774,-1.837688,35.466419,5.302495
220345,0.117286,-0.102625,-0.026878,2.37368,33.250664,4.086941
223346,0.036652,-0.415388,-0.097738,1.732404,28.847872,-0.454636
226348,-0.039095,0.161268,-0.193033,-0.425922,27.627531,0.133998
