time,position,velocity,current,rpm
03:13.1,0.063,1.816,24.391,552.063
03:13.1,0.086,1.962,23.272,758.057
03:13.1,0.117,2.441,23.863,861.511
03:13.1,0.152,2.666,26.693,1048.279
03:13.2,0.234,3.464,26.905,1240.54
03:13.2,0.282,3.907,24.226,1380.615
03:13.2,0.337,4.273,24.832,1498.718
03:13.2,0.398,4.722,23.782,1671.753
03:13.2,0.515,5.407,26.25,1969.3
03:13.3,0.67,6.155,25.229,2158.814
03:13.3,0.821,6.816,22.282,2389.527
03:13.3,1.004,7.465,22.124,2492.066
03:13.3,1.191,7.823,13.405,2647.705
03:13.4,1.389,8.04,10.935,2690.735
03:13.4,1.578,8.081,8.504,2712.708
03:13.4,1.791,8.175,9.421,2721.863
