time,position,velocity,current,rpm
35:12.3,-0.013,-0.006,3.105,12.817
35:12.4,-0.013,0.063,9.226,30.212
35:12.4,-0.011,0.179,14.44,98.877
35:12.4,-0.008,0.424,17.401,181.274
35:12.4,0.008,0.925,20.002,363.464
35:12.4,0.022,1.246,21.416,521.851
35:12.5,0.06,1.945,22.784,793.762
35:12.5,0.126,2.763,23.214,1049.194
35:12.5,0.213,3.558,24.865,1315.613
35:12.5,0.317,4.292,24.449,1561.89
35:12.6,0.442,5.079,24.529,1836.548
35:12.6,0.605,5.888,24.88,2087.403
35:12.6,0.775,6.692,24.56,2315.369
35:12.6,0.958,7.358,24.125,2539.673
35:12.7,1.164,7.806,12.575,2649.536
35:12.7,1.374,8.059,9.585,2685.242
35:12.7,1.591,8.018,9.608,2685.242
35:12.7,1.795,8.079,9.007,2748.413
