,0,1,2,3,4,5,6
68,8419,344,-0.125,18.5,-0.02,-3.08,9.27
69,16653,344,-0.125,18.5,-0.02,-3.08,9.25
70,26660,344,-0.125,18.5,-0.01,-3.1,9.27
71,36479,344,-0.125,18.5,-0.03,-3.11,9.26
72,46679,344,-0.125,18.5,-0.03,-3.1,9.28
73,57140,344,-0.125,18.5,-0.03,-3.14,9.31
74,66679,344,-0.125,18.5625,-0.39,-4.15,11.13
75,76714,344.0625,-0.125,18.625,-0.71,-7.99,14.56
76,89465,344.0625,-0.0625,18.8125,0.43,-16.59,15.3
77,96544,344.125,-0.0625,19.25,-0.54,-21.82,15.37
78,106729,344.1875,0,20,0.02,-24.34,11.3
79,116556,344.1875,0,20.875,0.12,-30.6,3.77
80,126819,344.25,0,22,1.01,-33.66,4.43
81,136590,344.3125,0.125,23.3125,2.14,-34.540001,1.12
82,146636,344.375,0.25,24.375,-0.8,-37.34,-3.23
83,156594,344.375,0.25,25.375,0.36,-33.860001,0.33
84,166659,344.4375,0.375,26.1875,0.34,-38.82,-9.53
85,176663,344.5,0.4375,26.8125,-0.89,-37.639999,9.89
86,188280,344.625,0.5625,27.4375,3.76,-37.830002,1.29
87,196795,344.75,0.625,27.625,0.61,-34.889999,6.95
88,206658,344.875,0.8125,27.625,-1.46,-38.68,-8.22
89,216727,345.0625,0.875,27.625,3.91,-38.75,-9.63
90,226692,345.25,0.9375,27.5625,3.53,-36.279999,9.95
91,236739,345.4375,1,27.5,-0.08,-35.830002,-10.21
92,246697,345.5625,1.0625,27.25,2.44,-34.400002,-1.29
93,256758,345.6875,1.1875,26.9375,3.65,-19.809999,-15.76
94,266721,345.8125,1.125,26.375,3.09,-25.9,9.64
95,276770,345.875,1.0625,25.25,2.54,-15.62,1.19
96,288647,345.875,1.0625,23.875,2.56,-15.48,0.23
97,296898,345.9375,0.75,22.4375,2.14,-12.47,4.61
98,306761,345.875,0.9375,21.1875,1.63,-7.47,15.16
99,316824,345.75,1.375,20,3.99,-1.32,14.49
100,326779,345.6875,1.125,18.9375,3.44,1.65,12.59
101,336834,345.75,0.3125,18,-7.36,1.15,10.44
102,346796,345.6875,0.25,17.25,3.4,0.49,19.74
103,356857,345.6875,0,16.625,-5.15,0.77,9.7
104,366808,345.5625,0.3125,16.125,0.46,-0.38,6.74
105,376873,345.4375,1,15.6875,2.94,0.16,7.78
106,393373,345.5,0.375,15.3125,-3.64,-1.24,-2.78
107,400325,345.5,0.3125,15.0625,4.86,-0.84,6.68
108,411626,345.5,0.0625,14.75,-2.35,-1.57,11.06
109,421700,345.375,0.125,14.5625,1.95,-1.94,12.93
110,431669,345.375,0.0625,14.625,-2.65,-1.74,17.440001
111,439582,345.3125,0.0625,14.8125,-0.13,0.26,18.93
112,449536,345.3125,0.0625,15.125,-1.43,-1.24,11.34
113,461753,345.25,0,15.625,-0.79,-1.03,6.72
114,471722,345.1875,0,16.25,0.72,-7.09,19.5
115,481843,345.1875,0,16.75,-1.02,-17.76,3.17
116,495612,345.0625,0.1875,17.375,-2.5,6.77,11.12
117,501831,345.25,-0.5625,17.1875,-2.5,6.77,11.12
118,513671,345.125,0.375,16.8125,10.11,-4.65,-3.59
119,523755,345.25,-0.625,16.5,-6.12,5.31,2.06
120,533889,345.1875,-0.375,16.5625,11.53,-10.55,6.3
121,541803,345.25,-0.8125,16.3125,-1.15,-1.73,3.74
122,551767,345.1875,-0.4375,16,-6.65,6.52,-15.55
123,563873,345.25,-0.8125,15.875,-4.99,-7.06,9.88
124,573873,345.1875,-0.6875,15.5625,-0.88,-1.65,4.12
125,584075,345.1875,-0.625,15.125,5.45,5.02,11.28
126,596335,345.25,-0.6875,14.75,-1.5,-0.36,11.84
127,602579,345.3125,-0.8125,14.4375,-1.5,-0.36,11.84
128,614211,345.3125,-0.875,13.9375,-2.48,1.91,8.84
129,624246,345.3125,-1,13.4375,0.9,-0.98,-3.59
130,634417,345.3125,-1.0625,13.0625,1.04,1.53,12.08
131,642598,345.375,-1.1875,12.5625,-2.21,-0.81,6.77
132,652568,345.4375,-1.3125,12.0625,1.34,-0.91,2.34
133,664288,345.4375,-1.3125,11.6875,-0.56,0.46,4.72
134,674375,345.4375,-1.375,11.1875,0.17,-0.74,9.87
135,684667,345.4375,-1.375,10.6875,1.01,-0.5,3.03
136,692569,345.5,-1.375,10.1875,-2.16,0.11,0.04
137,702666,345.5,-1.375,9.6875,-0.23,-0.76,9.55
138,714418,345.5,-1.375,9.125,0.84,-0.07,6.3
139,724407,345.5,-1.4375,8.5625,0.74,0.2,0.87
140,734604,345.5625,-1.4375,8,-0.31,-0.27,7.12
141,742681,345.625,-1.5,7.4375,-0.59,-0.04,7.83
142,752630,345.625,-1.625,6.875,-0.57,0,0.66
143,764519,345.625,-1.6875,6.25,0.53,-0.1,6.4
144,774556,345.6875,-1.8125,5.6875,0.17,-0.09,5.82
145,784759,345.75,-1.875,5.0625,0.04,0.05,2.11
146,792721,345.75,-2,4.5,-0.45,0.08,5.45
147,804205,345.75,-2.0625,3.875,0.53,-0.06,4.84
148,814574,345.75,-2.125,3.25,0.61,-0.13,2.5
149,824534,345.8125,-2.25,2.625,0.03,0.46,2.01
150,834869,345.875,-2.3125,2,-0.5,-0.48,4.9
151,842722,345.875,-2.375,1.375,-0.3,0.19,2.65
152,852777,345.875,-2.4375,0.75,0.39,0.49,3
153,864694,345.9375,-2.5,0.125,0.25,-0.02,4.38
154,874634,346,-2.5625,-0.5,-0.41,0.37,3.66
155,884908,346,-2.625,-1.125,-0.66,-0.05,3.31
156,892826,346,-2.6875,-1.75,0.38,0.32,3.97
157,903028,346,-2.8125,-2.4375,0.37,0.17,4.04
158,914771,346.0625,-2.9375,-3.125,0.19,-0.06,3.17
159,924734,346.125,-3,-3.75,-0.47,0.16,3.51
160,934986,346.125,-3.125,-4.4375,0.08,0.05,3.38
161,942812,346.125,-3.1875,-5.0625,0.43,0.13,3.77
162,952867,346.1875,-3.25,-5.75,0.38,0.18,3.12
163,964791,346.1875,-3.375,-6.375,-0.42,0.03,3.26
164,974838,346.25,-3.4375,-7.0625,-0.51,0.09,3.23
165,984998,346.25,-3.5,-7.6875,0.07,0.23,3.39
166,992986,346.25,-3.5625,-8.375,0.22,0.21,3.16
167,1007258,346.3125,-3.625,-9,-0.43,0.05,3.7
168,1015383,346.375,-3.6875,-9.625,-0.26,0.06,3.41
169,1025042,346.375,-3.75,-10.25,-0.26,0.06,3.41
170,1035276,346.375,-3.8125,-10.9375,0.41,0.28,3.65
