2022-04-11 12:33:00,183, [INFO], catapult, position:-0.015, velocity: 00.000, current: -03.861, mechpower:0000.004, power:0000.101, rpm:0017.395
2022-04-11 12:33:00,197, [INFO], catapult, position:-0.014, velocity: 00.091, current: -10.816, mechpower:0000.218, power:0000.576, rpm:0051.270
2022-04-11 12:33:00,208, [INFO], catapult, position:-0.012, velocity: 00.256, current: -15.037, mechpower:0001.162, power:0001.842, rpm:0118.103
2022-04-11 12:33:00,219, [INFO], catapult, position:-0.007, velocity: 00.471, current: -17.521, mechpower:0003.040, power:0004.226, rpm:0195.007
2022-04-11 12:33:00,241, [INFO], catapult, position:0.008, velocity: 00.947, current: -19.708, mechpower:0009.778, power:0012.708, rpm:0367.126
2022-04-11 12:33:00,261, [INFO], catapult, position:0.021, velocity: 01.288, current: -22.970, mechpower:0018.068, power:0023.924, rpm:0531.921
2022-04-11 12:33:00,284, [INFO], catapult, position:0.056, velocity: 01.890, current: -21.976, mechpower:0032.095, power:0042.247, rpm:0726.929
2022-04-11 12:33:00,306, [INFO], catapult, position:0.103, velocity: 02.504, current: -21.568, mechpower:0048.628, power:0063.649, rpm:0936.585
2022-04-11 12:33:00,330, [INFO], catapult, position:0.171, velocity: 03.230, current: -21.085, mechpower:0069.220, power:0090.684, rpm:1183.777
2022-04-11 12:33:00,353, [INFO], catapult, position:0.250, velocity: 03.803, current: -22.529, mechpower:0088.215, power:0115.971, rpm:1393.433
2022-04-11 12:33:00,378, [INFO], catapult, position:0.346, velocity: 04.524, current: -24.577, mechpower:0110.585, power:0144.537, rpm:1615.906
2022-04-11 12:33:00,400, [INFO], catapult, position:0.464, velocity: 05.231, current: -22.582, mechpower:0132.163, power:0174.313, rpm:1838.379
2022-04-11 12:33:00,422, [INFO], catapult, position:0.584, velocity: 05.778, current: -23.905, mechpower:0154.012, power:0202.367, rpm:2044.373
2022-04-11 12:33:00,446, [INFO], catapult, position:0.723, velocity: 06.480, current: -23.085, mechpower:0176.452, power:0231.855, rpm:2243.958
2022-04-11 12:33:00,470, [INFO], catapult, position:0.884, velocity: 07.121, current: -25.430, mechpower:0203.509, power:0267.286, rpm:2468.262
2022-04-11 12:33:00,492, [INFO], catapult, position:1.053, velocity: 07.732, current: -24.913, mechpower:0230.062, power:0301.883, rpm:2673.340
2022-04-11 12:33:00,514, [INFO], catapult, position:1.238, velocity: 08.365, current: -25.391, mechpower:0253.317, power:0331.894, rpm:2871.094
2022-04-11 12:33:00,537, [INFO], catapult, position:1.420, velocity: 08.965, current: -26.261, mechpower:0278.368, power:0364.502, rpm:3091.736
2022-04-11 12:33:00,562, [INFO], catapult, position:1.642, velocity: 09.603, current: -20.152, mechpower:0292.315, power:0379.997, rpm:3247.376
2022-04-11 12:33:00,584, [INFO], catapult, position:1.882, velocity: 09.941, current: -14.482, mechpower:0275.157, power:0351.571, rpm:3388.367
