2022-04-11 14:29:37,346, [INFO], catapult, position:-0.018, velocity: 00.000, current: -02.525, mechpower:-000.000, power:0000.041, rpm:0005.493
2022-04-11 14:29:37,358, [INFO], catapult, position:-0.018, velocity: 00.069, current: -08.816, mechpower:0000.114, power:0000.359, rpm:0034.790
2022-04-11 14:29:37,370, [INFO], catapult, position:-0.016, velocity: 00.165, current: -13.246, mechpower:0000.658, power:0001.201, rpm:0097.046
2022-04-11 14:29:37,383, [INFO], catapult, position:-0.013, velocity: 00.385, current: -15.929, mechpower:0002.034, power:0003.181, rpm:0162.048
2022-04-11 14:29:37,421, [INFO], catapult, position:0.010, velocity: 01.081, current: -20.964, mechpower:0013.268, power:0017.897, rpm:0465.088
2022-04-11 14:29:37,442, [INFO], catapult, position:0.039, velocity: 01.678, current: -23.224, mechpower:0026.858, power:0033.900, rpm:0656.433
2022-04-11 14:29:37,466, [INFO], catapult, position:0.081, velocity: 02.298, current: -22.699, mechpower:0043.181, power:0054.700, rpm:0869.751
2022-04-11 14:29:37,489, [INFO], catapult, position:0.141, velocity: 02.864, current: -25.107, mechpower:0062.504, power:0079.183, rpm:1083.069
2022-04-11 14:29:37,512, [INFO], catapult, position:0.216, velocity: 03.577, current: -25.153, mechpower:0083.061, power:0104.591, rpm:1311.951
2022-04-11 14:29:37,538, [INFO], catapult, position:0.314, velocity: 04.259, current: -23.637, mechpower:0106.930, power:0135.449, rpm:1560.974
2022-04-11 14:29:37,560, [INFO], catapult, position:0.424, velocity: 04.953, current: -24.731, mechpower:0129.337, power:0162.914, rpm:1757.813
2022-04-11 14:29:37,582, [INFO], catapult, position:0.540, velocity: 05.558, current: -24.476, mechpower:0149.493, power:0189.127, rpm:1948.242
2022-04-11 14:29:37,606, [INFO], catapult, position:0.668, velocity: 06.183, current: -25.445, mechpower:0174.311, power:0220.786, rpm:2199.097
2022-04-11 14:29:37,629, [INFO], catapult, position:0.826, velocity: 06.895, current: -27.778, mechpower:0198.963, power:0251.389, rpm:2410.584
2022-04-11 14:29:37,654, [INFO], catapult, position:0.984, velocity: 07.460, current: -24.024, mechpower:0224.767, power:0283.890, rpm:2638.550
2022-04-11 14:29:37,677, [INFO], catapult, position:1.179, velocity: 08.249, current: -25.946, mechpower:0252.220, power:0317.296, rpm:2852.783
2022-04-11 14:29:37,705, [INFO], catapult, position:1.410, velocity: 08.764, current: -15.470, mechpower:0242.222, power:0300.027, rpm:2976.380
2022-04-11 14:29:37,731, [INFO], catapult, position:1.629, velocity: 09.053, current: -10.391, mechpower:0207.223, power:0259.773, rpm:3020.325
2022-04-11 14:29:37,757, [INFO], catapult, position:1.860, velocity: 09.020, current: -08.743, mechpower:0179.551, power:0225.300, rpm:3087.158
