t,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z
8451,-0.002443,-0.012217,0,-0.162712,2.067399,9.734003
11272,-0.002443,-0.014661,-0.002443,-0.172283,2.07697,9.719646
14262,0,-0.014661,0.623083,-0.172283,2.067399,9.734003
17263,0,-0.012217,0,-0.177069,2.072184,9.71486
20266,0,-0.009774,-0.002443,-0.167498,2.07697,9.724432
23268,-0.002443,-0.012217,-0.625526,-0.167498,2.067399,9.724432
26269,-0.002443,-0.012217,-0.002443,-0.167498,2.057827,9.710074
29271,0,-0.012217,-0.002443,-0.162712,2.053042,9.710074
32272,0,-0.012217,-0.002443,-0.172283,2.072184,9.705289
35274,0.002443,-0.012217,-0.002443,-0.172283,2.115255,9.772288
38276,0.002443,-0.012217,-0.002443,-0.162712,2.26361,9.872787
41278,0.004887,-0.014661,0,0.138784,3.072384,10.509277
44279,0.036652,-0.053756,-0.002443,0.502493,3.957729,11.150554
47282,0.068417,-0.080634,-0.00733,0.789632,5.000999,11.944971
50284,0.107512,-0.109956,-0.014661,2.067399,7.178468,13.256237
53286,0.205251,-0.171042,-0.051313,1.627119,9.590433,15.620347
56747,0.285885,-0.004887,-0.075747,0.325424,12.15554,17.166109
59534,0.415388,0.229685,-0.12706,-0.870987,13.854444,17.663816
62534,0.537561,0.129503,-0.13439,0.827917,14.916858,17.166109
65536,0.598648,-0.024435,-0.117286,2.344966,15.797416,20.166712
68716,0.720821,0.019548,-0.153938,-1.440479,19.214367,19.683359
71552,0.962724,0.046426,-0.193033,-2.522035,18.664017,18.506092
74547,1.01648,0.029322,-0.185703,-1.990828,18.108883,14.093725
77541,1.058019,-0.06353,-0.065973,-1.225125,20.721844,12.279965
80653,1.180192,-0.078191,-0.039095,-1.617548,21.8034,10.892129
83547,1.248608,-0.080634,-0.026878,-2.660819,24.449863,9.576077
86764,1.251052,-0.227242,-0.014661,-1.459622,25.995625,10.581061
89709,1.28526,-0.180816,0.012217,-1.024128,25.497917,9.925428
92562,1.33413,-0.163712,0.026878,-0.014357,24.837498,6.939186
95573,1.329243,-0.329867,-0.002443,1.143769,24.253651,5.852845
98563,1.312139,-0.376293,-0.039095,0.947558,25.215565,3.507878
104703,1.317025,-0.315206,-0.097738,0.11007,28.326235,3.598805
108139,1.138653,-0.0562,-0.102625,1.196411,29.096725,4.292724
110986,1.065349,-0.036652,-0.075747,0.894916,29.924641,6.173482
113987,1.123992,0.149051,-0.065973,-0.435494,28.852655,3.225525
116989,1.141096,0.012217,-0.068417,1.249053,28.350164,2.790031
119990,1.070236,-0.117286,-0.043982,0.119641,29.369503,-0.622134
122992,0.913854,-0.239459,-0.00733,1.555335,29.230722,-4.067799
126025,0.759916,-0.327424,-0.026878,0.248854,28.823944,-5.374279
128995,0.605978,-0.161268,-0.031765,-1.119841,30.637701,-4.287939
131997,0.51557,0.048869,-0.065973,-0.267996,33.207592,-0.038285
134999,0.478918,0.07086,-0.073304,-0.842274,33.18845,-1.85683
138000,0.425162,0.105069,-0.073304,0.550349,31.642687,-3.9673
141001,0.151495,-0.207694,-0.080634,0.727418,31.245478,-4.053442
144005,0.073304,-0.175929,-0.083078,0.244068,30.317062,-4.560719
147007,-0.039095,-0.158825,-0.100182,-0.445065,32.159538,-0.851845
150008,-0.112399,-0.06353,-0.117286,0.736989,32.049465,-0.177069
153009,-0.144164,-0.105069,-0.117286,1.612763,32.12125,0.325424
156011,-0.171042,-0.095295,-0.136834,-0.736989,36.476192,4.383651
159012,-0.168599,0.232129,-0.173486,0.081356,35.035706,4.034299
162014,-0.256563,-0.00733,-0.18326,0.473779,32.480175,0.602991
165016,-0.346971,-0.122173,-0.149051,0.344566,35.050068,-10.533205
168016,-0.496023,-1.08734,-0.153938,2.033899,85.462051,-17.022541
171020,-1.47585,-1.448972,-0.280998,-1.660619,126.250107,12.854244
174021,-1.859474,-0.25412,-0.368963,-1.622334,3.541378,-34.212578
177026,-4.79407,-0.987158,-0.195477,10.896914,25.03371,-2.818745
180027,-4.114788,-1.918117,-0.31765,3.900301,-0.847059,-11.380264
183029,-2.594956,0.767247,-0.276111,-3.613162,-7.226324,7.465607
186032,-0.996932,2.707355,0.241903,-6.403194,-7.173683,4.292724
189033,-0.544892,1.918117,0.43738,-4.302295,-0.138784,-28.800013
192034,-0.549779,-0.188146,0.351858,-12.543176,65.314491,19.649858
195035,0.89675,1.583363,0.422719,-14.285151,94.401642,67.348381
198177,-0.708604,-0.540005,0.420275,4.268795,41.563332,23.449661
201039,-1.886352,-3.418402,-0.329867,19.970497,-1.56012,26.258837
204040,-2.331062,0.312763,-0.813672,18.075382,-9.753145,11.298908
207040,-1.290147,1.241278,-1.287704,16.122839,-13.189239,11.868401
210042,-1.505172,1.554041,-1.378112,-7.125826,-2.292324,-19.965714
213044,-1.8497,1.165531,-1.177748,-8.752945,4.15394,4.07737
216048,-1.676214,0.398284,-0.930959,-13.34238,13.457234,28.383663
219050,-0.713491,0.122173,0.351858,-2.215754,114.463074,150.307541
222049,1.879022,-1.544267,0.383623,1.584049,83.614799,120.87104
225052,2.186898,-1.075123,0.266337,-2.230111,32.752956,82.619385
228052,1.8497,1.038471,-0.114843,16.165909,11.74876,2.660819
231055,1.424538,-0.37385,-0.32498,12.428321,4.82393,-17.166109
234057,0.50091,-0.823446,-0.537561,6.675975,-13.098311,-26.139194
