,0,1,2,3,4
0,time,position,velocity,current,rpm
1,2022-05-11 13:34:20.257000,-0.023,0.008,23.445,439.453
2,2022-05-11 13:34:20.269000,0.026,1.502,23.68,551.148
3,2022-05-11 13:34:20.282000,0.045,1.8,24.571,642.7
4,2022-05-11 13:34:20.293000,0.069,2.119,25.998,747.986
5,2022-05-11 13:34:20.325000,0.127,2.768,26.834,1031.799
6,2022-05-11 13:34:20.347000,0.198,3.45,26.671,1225.891
7,2022-05-11 13:34:20.369000,0.276,4.015,29.639,1452.942
8,2022-05-11 13:34:20.392000,0.37,4.661,24.085,1672.669
9,2022-05-11 13:34:20.414000,0.492,5.382,27.93,1918.03
10,2022-05-11 13:34:20.439000,0.615,5.976,25.862,2121.277
11,2022-05-11 13:34:20.460000,0.759,6.662,27.548,2338.257
12,2022-05-11 13:34:20.485000,0.924,7.303,27.455,2535.095
13,2022-05-11 13:34:20.508000,1.106,7.999,30.657,2755.738
14,2022-05-11 13:34:20.533000,1.308,8.59,31.688,2967.224
15,2022-05-11 13:34:20.555000,1.511,9.16,31.38,3197.937
16,2022-05-11 13:34:20.577000,1.717,9.639,22.798,3286.743
