time,position,velocity,current,rpm
40:18.6,-0.014,0.003,3.822,21.973
40:18.6,-0.013,0.063,10.312,52.185
40:18.6,-0.011,0.245,15.283,124.512
40:18.7,-0.006,0.49,18.156,216.064
40:18.7,0.017,1.296,18.522,502.625
40:18.7,0.057,1.863,23.915,758.057
40:18.8,0.118,2.647,23.837,1021.729
40:18.8,0.202,3.428,24.639,1257.019
40:18.8,0.303,4.248,24.317,1547.241
40:18.8,0.431,4.983,23.778,1789.856
40:18.9,0.572,5.726,24.322,2060.852
40:18.9,0.74,6.563,25.664,2351.074
40:18.9,1.007,7.542,20.838,2539.673
40:18.9,1.147,7.79,15.341,2615.662
40:19.0,1.279,7.969,11.836,2659.607
40:19.0,1.373,8.101,9.374,2658.692
40:19.0,1.466,8.062,8.486,2687.073
40:19.0,1.552,8.145,7.635,2678.833
40:19.0,1.629,8.059,9.411,2684.326
40:19.0,1.708,8.076,8.98,2697.144
40:19.0,1.773,7.641,14.122,2663.269
40:19.0,1.859,8.158,7.082,2698.059
